row ID,row m/z,row retention time,NEG_004_Acetylportentol.mzXML Peak area,NEG_007_12_Desoxydiacetylpyxinol.mzXML Peak area,NEG_008_12_Desoxypyxinol.mzXML Peak area,NEG_002_2_Hydroxy_4_6_dimethoxyacetophenone.mzXML Peak area,NEG_011_Bourgeanic_acid.mzXML Peak area,NEG_012_Caperatic_acid.mzXML Peak area
209,258.9160101,8.878556061,0.0,4617768.916,0.0,1628227.175,0.0,0.0
210,145.92974850000002,8.955145833,0.0,2268306.736,0.0,2535059.693,0.0,0.0
212,312.8368378,7.163391667000001,0.0,2246305.063,0.0,0.0,0.0,0.0
213,567.0883382000001,7.178727778,0.0,1181935.191,0.0,186966.8331,355893.3067,0.0
214,328.81047060000003,7.398964286,0.0,2888937.299,0.0,0.0,0.0,0.0
215,125.927664,7.411861111,0.0,2455173.9,0.0,0.0,0.0,0.0
216,211.0078735,7.377258332999999,0.0,2060989.838,0.0,0.0,0.0,0.0
218,435.2374318,4.582716667,0.0,1307086.832,115912.1411,0.0,0.0,0.0
219,228.9939509,8.368031034,0.0,2610574.926,0.0,2201642.065,0.0,0.0
220,212.9101467,7.394033332999999,0.0,2541342.421,1194459.406,0.0,0.0,0.0
221,265.1476898,4.439702941,0.0,1982128.128,1829601.246,1708238.491,1949681.141,1808387.17
222,180.9719238,7.290816667,0.0,1566299.4630000002,0.0,0.0,0.0,0.0
223,440.2649918000001,4.590716667,0.0,779114.8345,0.0,0.0,0.0,0.0
224,383.1904653,7.3193,0.0,1331141.1509999998,0.0,0.0,0.0,0.0
225,467.17444860000006,4.611894444,0.0,612164.3592,0.0,0.0,0.0,0.0
226,215.16489,4.114525556,0.0,625561.0254,1176269.681,0.0,0.0,384935.8227
227,450.2124969,4.675393333,0.0,270312.7706,0.0,0.0,0.0,0.0
228,433.2222421,4.58187381,0.0,233598.2244,0.0,0.0,0.0,0.0
229,438.2510779,4.675290476,0.0,202147.9314,0.0,0.0,0.0,0.0
230,497.207784,4.613422222,0.0,154003.5641,0.0,0.0,0.0,0.0
231,409.3127577,6.964688889,0.0,334027.5302,0.0,0.0,0.0,0.0
232,503.2248535,4.544741667,0.0,160700.1104,0.0,0.0,0.0,0.0
233,323.2589264,4.613158333,0.0,104738.568,0.0,0.0,0.0,0.0
234,479.2777964,4.622066667,0.0,130755.8385,0.0,0.0,0.0,0.0
236,269.0455208,3.747,0.0,87843.6393,0.0,0.0,0.0,0.0
237,370.2572937,4.584158333,0.0,57356.01692,0.0,0.0,0.0,0.0
238,200.9240367,7.302988889,0.0,3532960.213,0.0,0.0,1857245.577,0.0
239,465.1594943,4.682120513,0.0,57924.95125,0.0,0.0,0.0,0.0
240,397.2601013,5.175233333,0.0,65077.96366,0.0,0.0,0.0,0.0
241,235.9254761,8.908275,0.0,0.0,35329824.55,17584320.52,32042096.3,26925807.7
242,212.9101902,8.413475926,0.0,0.0,2722505.205,1871724.171,1892413.101,2114684.316
243,192.9976357,5.666791667000001,0.0,0.0,9134710.206,0.0,1145994.883,0.0
244,559.3092651000001,6.173316667000001,0.0,0.0,7413781.557999999,0.0,0.0,0.0
245,505.3898315,6.16495,0.0,0.0,4212342.402,0.0,0.0,0.0
248,471.3489736,5.55565,0.0,0.0,1992815.669,0.0,0.0,0.0
249,320.8861923,8.919975,0.0,0.0,4827010.217,3627766.004,3848206.375,3375277.728
250,367.2486954,5.873691667,0.0,0.0,2874454.58,0.0,245065.9631,0.0
251,248.9606628,6.24595,0.0,0.0,4442758.267,0.0,0.0,0.0
252,316.9485626,5.65773,0.0,0.0,4031160.584,0.0,0.0,0.0
253,339.2004878,6.100977778,0.0,0.0,3396374.778,0.0,0.0,0.0
254,134.89363480000003,5.929779167,0.0,0.0,3469731.827,0.0,0.0,0.0
255,132.92262879999998,5.972213332999999,0.0,0.0,2544607.344,0.0,0.0,0.0
256,178.97674030000002,0.079985,3222432.2810000004,2929165.5930000003,2675759.97,0.0,2274422.954,2644450.525
257,281.24909060000005,6.34835,0.0,0.0,1035626.619,0.0,0.0,0.0
258,325.185791,6.14475,0.0,0.0,1674488.493,0.0,0.0,0.0
259,242.943552,4.096345833,0.0,0.0,1301177.568,0.0,0.0,0.0
260,875.1469376,7.489558333,0.0,0.0,826243.3869,0.0,0.0,0.0
263,173.0811157,4.972276667,0.0,0.0,719662.4191,0.0,0.0,0.0
264,457.3176975,6.112802082999999,0.0,0.0,470951.4049,0.0,0.0,0.0
265,365.2331848,6.358525,0.0,0.0,478975.6027,0.0,0.0,0.0
267,243.1596565,4.685125,0.0,0.0,402204.8313,0.0,4254529.531,0.0
268,467.1739883,6.340041667,0.0,0.0,124985.4982,0.0,0.0,0.0
269,315.1814423,4.656108333,0.0,0.0,170551.9519,0.0,1089363.355,0.0
270,463.1519737,6.287314583,0.0,0.0,139880.7246,82114.25251,1882114.307,314975.3826
271,179.03450880000003,8.929395238,0.0,0.0,260738.43,0.0,0.0,0.0
272,195.0643489,1.35132963,0.0,0.0,150843.4408,0.0,0.0,479153.7855
274,275.168906,4.667152632,0.0,0.0,70669.4613,0.0,0.0,38837.55569
275,195.0652771,2.6804,0.0,0.0,0.0,356293538.4,0.0,0.0
276,181.0499708,2.0119777780000003,0.0,0.0,0.0,175649959.7,0.0,0.0
277,197.8071594,8.453271428999999,31560378.14,34660923.34,36290939.49,37306373.35,35143205.97,34758621.64
278,593.1212768999999,7.467116667000001,91641655.33,94438330.58,142002975.5,107058320.9,29013228.65,78288389.5
