Index,mz,rt,TIC,charge,mgf_index,rule_points,status,status_universal,adduct_count,Adnotation,ion_mode,feature_id,cluster_id,ldb_ion_name,ldb_ion_mass,ldb_ion_rt,ldb_ion_adduct,ldb_ion_formula,ldb_ion_smiles,ldb_ion_inchi,ldb_ion_inchikey,ldb_ion_class,ldb_ion_instrument,ldb_ion_cos,ldb_ion_matches,ldb_ion_error_mDa,adduct,colotus_name,colotus_mass,colotus_error_mDa,colotus_smiles,colotus_inchi,colotus_inchikey,004_Acetylportentol
110,285.2073,246.432,104200.0,-1,110.0,0,neg_adduct,adduct,0,[M-H]-,NEG,182.0,104,,,,,,,,,,,,,,,,,,,,,133561.2483
113,214.9277,19.778,122600.0,-1,113.0,0,neg_singleton,singleton,0,,NEG,185.0,-1,,,,,,,,,,,,,,,,,,,,,69760.78541
114,255.2326,375.743,126800.0,-1,114.0,0,neg_singleton,singleton,0,,NEG,186.0,-1,,,,,,,,,,,,,,,,,,,,,87506.9389
115,139.0059,23.26,187000.0,1,115.0,0,neg_cossingleton,cossingleton,0,,NEG,187.0,3,,,,,,,,,,,,,,,,,,,,,56437.04064
116,227.1653,216.169,79200.0,1,116.0,0,neg_singleton,singleton,0,,NEG,188.0,-1,,,,,,,,,,,,,,,,,,,,,142420.948
128,657.139,394.54,302500.0,-1,128.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,203.0,21,,,,,,,,,,,,,,,,,,,,,261501.796
175,178.9767,4.799,114600.0,1,175.0,0,neg_cossingleton,cossingleton,0,,NEG,256.0,107,,,,,,,,,,,,,,,,,,,,,3222432.2810000004
192,197.8072,507.196,10203500.0,1,192.0,0,neg_cossingleton,cossingleton,0,,NEG,277.0,130,,,,,,,,,,,,,,,,,,,,,31560378.14
193,593.1213,448.027,5341000.0,-1,193.0,0,neg_adduct,adduct,0,[M-H]-,NEG,278.0,11,,,,,,,,,,,,,,,,,,,,,91641655.33
194,683.1719,448.027,5113000.0,-1,194.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,281.0,11,,,,,,,,,,,,,,,,,,,,,43976698.35
195,729.1778,446.621,3172000.0,-1,195.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,283.0,11,,,,,,,,,,,,,,,,,,,,,37216014.67
196,743.1392,438.104,2821000.0,-1,196.0,0,neg_adduct,adduct,0,[M-H]-,NEG,284.0,17,,,,,,,,,,,,,,,,,,,,,23354531.89
199,307.8558,513.661,497900.0,-1,199.0,0,neg_adduct,adduct,0,[M-H]-,NEG,293.0,35,,,,,,,,,,,,,,,,,,,,,48113302.14
201,209.8331,507.258,439400.0,1,201.0,0,neg_cossingleton,cossingleton,0,,NEG,305.0,76,,,,,,,,,,,,,,,,,,,,,4038554.447
202,132.8665,508.99,1513000.0,1,202.0,0,neg_singleton,singleton,0,,NEG,306.0,-1,,,,,,,,,,,,,,,,,,,,,8291207.497
203,833.1891,457.467,1274800.0,-1,203.0,0,neg_adduct,adduct,0,[M-H]-,NEG,307.0,106,,,,,,,,,,,,,,,,,,,,,9349205.508
