row ID,row m/z,row retention time,POS_004_Acetylportentol.mzXML Peak area,POS_007_12_Desoxydiacetylpyxinol.mzXML Peak area,POS_008_12_Desoxypyxinol.mzXML Peak area,POS_002_2_Hydroxy_4_6_dimethoxyacetophenone.mzXML Peak area,POS_011_Bourgeanic_acid.mzXML Peak area,POS_012_Caperatic_acid.mzXML Peak area
301,785.1462484,7.006726667000001,0.0,217800.9441,0.0,0.0,0.0,0.0
302,940.227634,7.266313889,0.0,48950.9995,0.0,0.0,786819.7789,0.0
304,177.0548201,3.236085417,167306.4837,191974.123,157545.7822,0.0,217493.3516,189345.2473
305,228.2324054,4.991361712,285203.4161,368246.9219,361737.0427,306645.3853,0.0,0.0
306,265.1410273,1.666840909,0.0,516418.185,0.0,0.0,0.0,0.0
308,173.0801737,1.502129825,659139.938,61346.10672,0.0,0.0,4295365.201,1065459.235
310,638.2168932,7.933180702,659153.3479,120894.9056,373694.8131,207851.0635,0.0,0.0
311,131.5338217,8.349023611,80933.4218,48143.47599,51217.71791,99759.0482,0.0,2536953.249
312,412.3068154,4.66060303,0.0,161266.54,0.0,0.0,0.0,0.0
314,262.1650462,1.491942157,472604.139,329076.2096,351648.7049,296281.1221,0.0,0.0
315,652.4117160000001,1.636885185,51840.38604,66232.45298,81176.72211,37225.9839,0.0,0.0
316,372.1360697,4.376015385,0.0,138017.8932,0.0,0.0,1192599.143,0.0
317,357.2358093,1.6997416669999998,74226.3584,83814.12599,100626.5529,80620.32675,0.0,0.0
318,780.1912384,7.011272619,0.0,185652.3039,0.0,0.0,0.0,0.0
319,256.2635864,5.709136667,0.0,280932.1763,246110.0085,315073.0136,0.0,274444.2374
320,635.1298264999999,6.543707692000001,0.0,72475.39482999999,0.0,0.0,0.0,0.0
321,722.5056997,5.114265385,229321.8383,138797.9954,257395.8489,256294.5489,0.0,0.0
322,332.2797682,5.200801852,0.0,244987.1774,258643.7065,260912.1839,0.0,0.0
324,1220.345915,8.29062549,0.0,152751.4136,0.0,0.0,0.0,0.0
325,389.2294998,4.636151389,0.0,114535.2529,0.0,0.0,0.0,0.0
326,172.13331330000003,1.388589394,409568.9951,434998.3133,394198.5794,395817.5602,0.0,0.0
327,192.1386294,3.1882142860000005,0.0,257167.3498,0.0,0.0,0.0,0.0
328,223.0648386,7.23055,0.0,82709.95013,0.0,0.0,0.0,0.0
329,317.1151485,4.821879167,147682.0121,192214.1166,225446.6939,0.0,0.0,0.0
330,680.4812866000001,7.68363,0.0,174962.5287,0.0,418931.3526,0.0,0.0
331,245.0788717,3.237789583,0.0,128865.5715,105891.908,0.0,0.0,0.0
332,266.2112512,4.330703703999999,188691.9951,150785.9523,0.0,164590.6843,0.0,763222.5447
333,216.1960034,2.368952778,0.0,110049.3385,93430.40884,133411.3533,0.0,0.0
334,325.2487742,2.4625125,0.0,46170.92001,0.0,0.0,0.0,53287.33543
336,241.068295,1.6613369569999998,390719.2284,83794.03933,182538.5367,0.0,0.0,0.0
337,584.4378375,5.623787255,172962.5723,136903.3012,170679.6799,201787.2081,0.0,0.0
338,234.1336768,1.7371740000000002,0.0,241691.0243,0.0,0.0,0.0,0.0
339,1056.298065,7.930558333,0.0,132822.0348,451684.7745,0.0,0.0,0.0
340,286.9579742,2.594093333,0.0,73740.68944,52417.73096,49582.15583,0.0,62605.38329
